TOWN11CD,TOWN11NM,POPULATION_2011,SIZE_FLAG,RGN11NM,COASTAL,COASTAL DETAILED,TTWA11CD,TTWA11NM,TTWA CLASSIFICATION,JOB DENSITY FLAG,INCOME FLAG,UNIVERSITY FLAG,Level4Qual_residents35-64_2011,KS4_2012-2013_counts,Key Stage 2 attainment_school year 2007 to 2008,Key Stage 4 attainment_school year 2012 to 2013,Level 2 at age 18,Level 3 at age 18,Activity at age 19: full-time higher education,Activity at age 19: sustained further education,Activity at age 19: appprenticeships,Activity at age 19: employment with earnings above 0,Activity at age 19: employment with earnings above 10K,Activity at age 19: out-of-work,Highest level qualification achieved by age 22: less than level 1,Highest level qualification achieved by age 22: level 1 to level 2,Highest level qualification achieved by age 22: level 3 to level 5,Highest level qualification achieved by age 22: level 6 or above,Highest level qualification achieved by age 22: average score,Education Score
E35000387,Ossett BUASD,21231,Medium Towns,Yorkshire and The Humber,Non-coastal,Large non-coastal town,E30000283,Wakefield and Castleford,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,231,87.4,78.8,80.5,55.8,32.5,23.4,14.3,53.2,29.9,7.8,*,24.2,45.5,28.1,3.6,4.1
E35000388,Mansfield Woodhouse BUASD,18574,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000240,Mansfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,226,73.2,58.4,81.4,39.4,26.5,26.5,19.5,49.1,21.7,8.8,*,35.6,42.7,20.0,3.2,-2.2
E35000390,Southend-on-Sea BUASD,175547,Large Towns,East of England,Coastal,Large seaside town,E30000268,Southend,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,2085,71.1,57.5,80.9,49.1,31.9,16.4,7.9,42.4,20.2,10.6,3.9,26.4,42.6,27.1,3.4,-1.0
E35000397,Brierley Hill BUASD,31430,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000202,Dudley,Majority conurbation,Working,Higher deprivation towns,No university,Low,385,62.5,51.2,79.0,42.1,27.3,24.4,12.7,41.0,19.2,12.2,3.6,26.6,43.8,26.0,3.4,-3.3
E35000398,Wallasey BUASD,60284,Medium Towns,North West,Coastal,Large other coastal town,E30000168,Birkenhead,Majority conurbation,Residential,Higher deprivation towns,No university,Low,723,71.6,58.5,79.8,44.7,32.5,25.3,14.7,43.4,15.9,12.3,2.4,29.6,41.8,26.3,3.4,-1.2
E35000402,Harwich BUASD,19738,Small Towns,East of England,Coastal,Smaller other coastal town,E30000192,Clacton,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,242,75.1,59.9,83.9,35.5,18.6,18.2,14.5,49.6,24.0,16.9,5.0,38.4,40.1,16.5,3.0,-2.8
E35000403,Barrow upon Soar BUASD,5956,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,48,73.2,52.1,79.2,52.1,52.1,*,*,41.7,*,*,*,24.5,32.7,*,3.9,0.2
E35000404,Kendal BUASD,28586,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000223,Kendal,Majority rural,Working,Lower deprivation towns,No university,Medium,329,81.4,56.8,92.1,57.0,39.5,21.3,13.7,49.8,26.7,5.2,*,17.0,47.7,33.4,3.8,1.9
E35000405,South Shields BUASD,75337,Large Towns,North East,Coastal,Large other coastal town,E30000245,Newcastle,Majority conurbation,Residential,Higher deprivation towns,No university,Low,826,69.4,56.5,78.0,40.0,29.1,27.0,14.4,38.9,15.6,16.5,1.9,26.6,47.2,24.3,3.5,-2.0
E35000414,Corsham BUASD,13432,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000280,Trowbridge,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,150,75.5,64.0,90.0,57.3,40.0,14.7,7.3,48.0,17.3,*,*,23.5,39.6,33.6,3.7,1.6
E35000417,Mirfield BUASD,19330,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000219,Huddersfield,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,219,88.8,76.3,86.8,54.8,34.2,22.8,17.8,51.6,25.1,6.4,*,19.4,47.9,32.3,3.8,4.5
E35000418,Coppull BUASD,7959,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000255,Preston,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,99,72.6,58.6,85.9,46.5,20.2,20.2,13.1,53.5,29.3,*,*,27.7,47.5,*,3.1,-1.8
E35000419,Norwich BUASD,186682,Large Towns,East of England,Non-coastal,Large non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Working,Higher deprivation towns,University,Medium,1613,63.7,50.7,77.5,40.0,26.7,17.4,10.2,49.8,25.7,9.0,2.0,36.0,39.6,22.3,3.2,-4.0
E35000422,Higham Ferrers BUASD,8083,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Residential,Lower deprivation towns,No university,Low,94,63.6,48.9,75.5,37.2,26.6,21.3,14.9,52.1,34.0,*,*,35.9,41.3,*,3.3,-4.2
E35000424,Norton-on-Derwent BUASD,7049,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000238,Malton,Majority rural,Working,Mid deprivation towns,No university,Low,86,56.3,70.9,89.5,51.2,29.1,23.3,22.1,62.8,38.4,*,*,26.1,51.1,*,3.3,-1.5
E35000427,Stourbridge BUASD,63298,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000202,Dudley,Majority conurbation,Residential,Higher deprivation towns,No university,Medium,709,79.5,65.9,86.5,60.9,45.1,18.9,10.3,39.2,15.2,10.7,1.6,16.6,45.1,36.7,3.9,3.2
E35000429,Westhoughton BUASD,24126,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000239,Manchester,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,299,81.4,61.2,79.9,49.2,33.4,24.4,15.7,54.5,25.4,8.4,*,22.5,49.7,26.8,3.6,0.9
E35000431,Felixstowe BUASD,23564,Medium Towns,East of England,Coastal,Large seaside town,E30000222,Ipswich,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,245,71.4,46.1,74.3,42.9,32.7,18.8,9.4,51.8,26.9,7.8,4.0,31.6,36.0,28.3,3.3,-3.0
E35000436,Yate BUASD,30022,Medium Towns,South West,Non-coastal,Large non-coastal town,E30000180,Bristol,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Low,419,71.9,54.4,82.8,41.1,23.9,23.9,16.9,66.3,38.2,3.1,*,31.8,46.6,20.2,3.2,-2.5
E35000438,Goldthorpe BUASD,6051,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000004,Barnsley,Majority conurbation,Working,Higher deprivation towns,No university,Low,81,55.4,35.8,65.4,18.5,18.5,23.5,16.0,37.0,16.0,17.3,*,45.1,34.1,*,2.9,-9.3
E35000439,Whitehaven BUASD,23986,Medium Towns,North West,Coastal,Large other coastal town,E30000286,Whitehaven,Majority rural,Mixed,Higher deprivation towns,No university,Low,283,74.4,48.4,82.3,36.0,17.7,36.7,30.0,55.5,34.6,13.1,*,36.3,44.8,16.0,3.1,-3.6
E35000440,Baildon BUASD,15944,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000018,Bradford,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,165,78.8,66.7,83.0,59.4,45.5,15.8,7.9,46.7,20.6,*,*,23.0,39.4,36.4,3.8,2.7
E35000441,Shefford BUASD,5954,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,69,76.6,73.9,87.0,53.6,29.0,24.6,15.9,58.0,34.8,*,*,22.9,47.1,*,3.6,2.1
E35000442,Lees BUASD,13062,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000239,Manchester,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,135,80.6,67.4,83.7,56.3,40.7,23.7,14.8,45.2,23.7,9.6,*,16.8,45.3,36.5,3.9,3.0
E35000444,Steyning BUASD,6557,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000292,Worthing,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,70,85.2,82.9,95.7,77.1,57.1,14.3,*,55.7,20.0,*,*,*,49.3,43.5,4.3,8.1
E35000450,Nuneaton BUASD,86552,Large Towns,West Midlands,Non-coastal,Large non-coastal town,E30000195,Coventry,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,1075,73.7,55.1,82.0,39.7,29.3,18.9,14.1,51.1,29.0,9.7,2.1,30.1,44.0,23.8,3.3,-2.0
E35000453,Wisbech BUASD,31573,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000287,Wisbech,Majority town and city (small),Working,Higher deprivation towns,No university,Low,324,70.5,48.1,83.3,32.4,20.1,18.8,9.6,53.4,29.3,10.2,*,37.8,42.4,17.0,3.0,-4.6
E35000455,Chatham BUASD,76792,Large Towns,South East,Non-coastal,Large non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,984,66.3,57.1,82.0,45.9,30.0,17.4,10.2,43.9,21.2,11.3,3.9,32.6,39.6,23.9,3.3,-2.4
E35000458,Dukinfield BUASD,20909,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000239,Manchester,Majority conurbation,Working,Higher deprivation towns,No university,Low,241,73.7,60.6,77.6,41.5,24.9,25.3,17.0,50.6,27.0,10.8,*,30.0,46.7,20.8,3.2,-1.6
E35000462,Falmouth BUASD,22686,Medium Towns,South West,Coastal,Large seaside town,E30000051,Falmouth,Majority town and city (small),Working,Higher deprivation towns,University,Medium,204,72.5,61.3,82.4,48.5,29.4,19.6,11.3,54.4,22.5,4.9,*,26.5,47.5,24.5,3.4,-0.5
E35000465,How Wood BUASD,6834,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000237,Luton,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,76,85.7,80.3,96.1,63.2,59.2,15.8,*,42.1,15.8,*,*,*,39.2,47.3,4.3,6.7
E35000467,Farnworth BUASD,26939,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000239,Manchester,Majority conurbation,Working,Higher deprivation towns,No university,Low,380,61.2,50.5,75.5,43.4,30.3,21.6,10.5,38.7,14.5,18.2,3.1,25.9,46.1,24.9,3.4,-3.5
E35000470,Sawbridgeworth BUASD,9800,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,124,81.4,68.5,95.2,65.3,44.4,14.5,9.7,42.7,20.2,*,*,15.1,42.9,39.7,3.9,4.2
E35000473,Whitstable BUASD,32100,Medium Towns,South East,Coastal,Large seaside town,E30000187,Canterbury,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,355,71.0,59.4,79.4,49.2,35.2,13.0,7.0,46.2,20.6,5.4,*,27.7,42.6,28.0,3.5,-0.7
E35000475,Cleckheaton BUASD,11648,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000018,Bradford,Majority conurbation,Working,Higher deprivation towns,No university,Low,118,70.9,58.5,90.7,51.7,33.9,20.3,15.3,59.3,32.2,*,*,23.3,50.9,25.9,3.6,-0.2
E35000476,Halesowen BUASD,58135,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000202,Dudley,Majority conurbation,Mixed,Higher deprivation towns,No university,Low,621,76.3,68.8,86.5,54.1,35.4,23.7,17.2,48.8,19.8,7.1,*,17.8,50.7,30.7,3.7,2.1
E35000477,Nailsea BUASD,16060,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000180,Bristol,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,182,78.2,53.3,86.8,56.6,35.7,25.3,15.9,54.4,28.0,*,*,23.2,44.8,30.4,3.7,0.7
E35000481,Ashford (Spelthorne) BUASD,28036,Medium Towns,South East,Non-coastal,Large non-coastal town,E30000266,Slough and Heathrow,Majority conurbation,Residential,Lower deprivation towns,No university,Low,264,75.1,61.4,84.1,53.4,32.2,19.7,15.2,54.2,31.4,*,*,17.9,50.4,28.6,3.6,0.7
E35000483,Sutton Coldfield BUASD,109015,Large Towns,West Midlands,Non-coastal,Large non-coastal town,E30000169,Birmingham,Majority conurbation,Mixed,Lower deprivation towns,No university,Medium,1209,84.8,81.6,91.6,65.4,50.9,18.2,12.5,48.2,19.4,4.7,0.9,14.6,42.3,42.2,4.1,6.4
E35000485,Northwood BUASD,5253,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000234,London,Majority conurbation,Working,Lower deprivation towns,No university,High,14,88.2,85.7,92.9,85.7,71.4,*,*,*,*,*,*,*,*,*,5.1,11.9
E35000486,Manchester BUASD,510746,City,North West,Non-coastal,Cities,E30000239,Manchester,Majority conurbation,Working,Cities,University,Medium,5161,69.4,55.3,78.7,45.0,36.5,18.9,8.7,34.0,12.6,12.5,3.5,25.5,44.4,26.6,3.4,-1.8
E35000487,Narborough/Enderby BUASD,12996,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,158,82.9,59.5,82.3,46.2,38.0,22.2,13.9,55.7,25.3,*,*,23.4,42.4,31.6,3.6,0.9
E35000490,Great Notley BUASD,7749,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,120,76.7,65.8,90.0,59.2,41.7,19.2,15.0,49.2,24.2,*,*,27.1,33.1,38.1,3.8,2.5
E35000491,North Wingfield BUASD,9205,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000190,Chesterfield,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,102,70.1,47.1,74.5,29.4,19.6,22.5,14.7,52.9,29.4,11.8,*,35.9,41.7,*,3.1,-4.7
E35000498,Burnley BUASD,81548,Large Towns,North West,Non-coastal,Large non-coastal town,E30000182,Burnley,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,1015,64.0,47.0,79.2,36.0,25.1,27.6,16.4,39.4,19.1,12.8,3.7,31.8,43.7,20.7,3.2,-4.7
E35000499,Soham BUASD,9165,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,103,65.5,55.3,78.6,37.9,29.1,20.4,15.5,50.5,30.1,*,*,32.7,39.4,24.0,3.2,-3.6
E35000502,Hatfield BUASD,37577,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Working,Lower deprivation towns,University,Medium,279,70.5,57.0,84.9,44.1,32.3,16.8,6.8,47.3,24.0,6.1,*,24.6,43.6,28.6,3.5,-1.3
E35000507,Burnham-on-Sea BUASD,23325,Medium Towns,South West,Coastal,Large seaside town,E30000176,Bridgwater,Majority town and city (small),Mixed,Higher deprivation towns,No university,Low,216,74.0,60.6,88.4,47.7,32.4,20.4,8.3,51.9,27.3,6.5,*,26.3,41.9,30.0,3.6,0.0
E35000508,Ingatestone BUASD,5365,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,78,74.3,70.5,93.6,64.1,44.9,14.1,*,39.7,21.8,*,*,15.0,46.3,37.5,3.9,3.3
E35000510,Bingley BUASD,22493,Medium Towns,Yorkshire and The Humber,Non-coastal,Large non-coastal town,E30000018,Bradford,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,208,80.5,72.6,87.5,59.6,43.3,22.6,12.5,39.4,16.8,6.7,*,20.1,40.2,38.3,3.9,3.9
E35000513,Blackwater BUASD,7195,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000212,Guildford and Aldershot,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Low,85,86.6,65.9,87.1,48.2,23.5,22.4,*,57.6,32.9,*,*,21.4,65.5,*,3.2,0.9
E35000514,Crosby BUASD,50044,Medium Towns,North West,Coastal,Large other coastal town,E30000233,Liverpool,Majority conurbation,Residential,Higher deprivation towns,No university,Medium,571,85.1,66.5,85.8,49.6,40.3,22.4,13.1,41.3,13.5,11.4,2.5,21.7,40.8,35.0,3.8,2.6
E35000516,Sandown BUASD,11868,Small Towns,South East,Coastal,Smaller seaside town,E30000070,Isle of Wight,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,157,61.0,42.7,70.1,33.1,22.3,15.9,7.6,47.8,17.2,11.5,*,38.4,41.5,18.9,3.0,-6.2
E35000523,Hessle BUASD,14515,Small Towns,Yorkshire and The Humber,Coastal,Smaller other coastal town,E30000220,Hull,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,152,76.4,58.6,80.9,42.1,32.9,34.2,21.1,57.2,21.7,*,*,27.2,46.4,26.5,3.6,-0.5
E35000528,Bishop Auckland BUASD,24908,Medium Towns,North East,Non-coastal,Large non-coastal town,E30000203,Durham and Bishop Auckland,Majority rural,Working,Higher deprivation towns,No university,Low,305,71.2,63.0,84.3,38.7,19.7,31.5,20.3,46.6,28.5,18.0,*,35.2,46.7,16.4,3.1,-2.2
E35000529,Immingham BUASD,10750,Small Towns,Yorkshire and The Humber,Coastal,Smaller other coastal town,E30000211,Grimsby,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,143,60.7,53.1,78.2,19.0,14.0,28.7,19.6,44.8,26.6,14.7,*,42.3,43.0,*,2.8,-7.0
E35000538,Bootle BUASD,51394,Medium Towns,North West,Coastal,Large other coastal town,E30000233,Liverpool,Majority conurbation,Working,Higher deprivation towns,No university,Low,654,72.6,46.0,77.9,35.5,24.5,23.7,11.9,45.7,17.1,17.7,2.9,33.8,42.6,20.7,3.2,-3.8
E35000549,Brough BUASD,12472,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000220,Hull,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,158,80.9,74.1,93.0,71.5,53.8,24.7,15.2,44.3,16.5,*,*,10.2,50.3,38.2,4.1,5.6
E35000550,Ouston BUASD,5303,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000245,Newcastle,Majority conurbation,Residential,Lower deprivation towns,No university,Low,65,86.2,73.8,92.3,55.4,38.5,23.1,*,50.8,32.3,*,*,21.5,44.6,*,3.6,3.5
E35000551,Polegate BUASD,9034,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000204,Eastbourne,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,73,69.4,64.4,78.1,47.9,27.4,21.9,*,47.9,21.9,*,*,20.0,50.7,*,3.5,-0.4
E35000553,Haworth BUASD,6379,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000018,Bradford,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,61,85.5,68.9,95.1,57.4,32.8,24.6,16.4,49.2,27.9,*,*,21.0,46.8,*,3.7,3.4
E35000562,Great Wyrley BUASD,18353,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000288,Wolverhampton and Walsall,Majority conurbation,Residential,Mid deprivation towns,No university,Low,219,75.8,56.6,78.5,41.6,27.4,25.1,19.2,53.9,28.3,8.7,*,29.7,43.4,25.1,3.4,-1.3
E35000563,Thrapston BUASD,6239,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,92,79.8,72.8,89.1,53.3,43.5,*,*,50.0,25.0,*,*,20.7,40.2,38.0,3.9,3.2
E35000565,Broadstairs BUASD,23632,Medium Towns,South East,Coastal,Large seaside town,E30000241,Margate and Ramsgate,Majority town and city (small),Working,Mid deprivation towns,No university,Medium,307,71.5,63.5,85.0,50.0,34.2,18.9,10.4,43.0,17.9,9.1,3.6,25.1,42.0,29.3,3.5,0.0
E35000567,Banstead BUASD,10653,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000234,London,Majority conurbation,Mixed,Lower deprivation towns,No university,Medium,70,81.6,91.4,91.4,75.7,50.0,14.3,*,41.4,18.6,*,*,*,47.1,42.9,4.2,8.1
E35000569,Cheadle BUASD,13467,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000239,Manchester,Majority conurbation,Working,Mid deprivation towns,No university,Medium,109,71.1,61.5,80.7,51.4,36.7,25.7,16.5,41.3,16.5,*,*,10.0,56.4,27.3,3.5,-0.2
E35000570,Waltham BUASD,6057,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000211,Grimsby,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,73,75.7,82.2,90.4,56.2,34.2,27.4,15.1,47.9,23.3,*,*,*,58.3,*,3.8,3.7
E35000572,Rawtenstall BUASD,23128,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000170,Blackburn,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Medium,277,70.9,61.0,83.0,51.6,37.9,23.5,13.4,43.0,20.6,7.9,*,22.7,44.8,30.7,3.6,0.2
E35000573,Houghton Regis BUASD,16606,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000237,Luton,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,218,53.9,45.4,66.5,36.7,22.9,22.0,11.0,53.7,30.3,10.1,4.6,33.0,46.3,16.1,3.0,-6.5
E35000574,Rowley Regis BUASD,34260,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000202,Dudley,Majority conurbation,Residential,Higher deprivation towns,No university,Low,457,75.1,56.5,81.2,42.7,29.5,20.8,12.9,44.4,22.3,12.5,*,29.2,45.0,24.1,3.4,-1.3
E35000575,Workington BUASD,22098,Medium Towns,North West,Coastal,Large other coastal town,E30000290,Workington,Majority rural,Mixed,Higher deprivation towns,No university,Low,245,72.6,51.4,80.0,28.2,14.3,42.0,31.4,61.2,33.5,14.7,*,36.2,52.7,*,2.9,-4.9
E35000580,Billingham BUASD,35392,Medium Towns,North East,Non-coastal,Large non-coastal town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,420,79.3,54.5,76.4,43.3,32.1,27.1,18.3,38.1,16.7,15.2,*,22.6,44.3,31.0,3.6,-0.3
E35000582,Hebburn BUASD,19148,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000245,Newcastle,Majority conurbation,Residential,Higher deprivation towns,No university,Low,231,77.4,65.4,87.4,52.8,32.5,28.1,19.9,43.7,21.6,16.5,*,24.7,45.9,28.1,3.6,1.4
E35000583,Midsomer Norton BUASD,12415,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000165,Bath,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Low,167,77.2,57.5,79.6,48.5,29.9,19.2,11.4,57.5,33.5,*,*,26.2,44.6,26.8,3.5,-0.2
E35000588,Aldridge BUASD,39463,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000288,Wolverhampton and Walsall,Majority conurbation,Mixed,Higher deprivation towns,No university,Low,466,77.9,69.3,83.9,48.7,37.6,24.7,16.7,47.0,22.3,10.1,2.6,23.6,40.6,33.3,3.7,1.7
E35000589,Kimberley BUASD,11353,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,123,75.4,65.0,80.5,49.6,36.6,22.0,13.8,47.2,23.6,10.6,*,24.6,50.0,24.6,3.5,0.6
E35000590,Macclesfield BUASD,56581,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000239,Manchester,Majority conurbation,Working,Mid deprivation towns,No university,Medium,623,77.4,61.6,83.3,60.4,39.3,19.6,12.0,48.0,22.0,6.7,1.6,20.5,45.7,32.1,3.7,1.9
E35000591,Windsor BUASD,31225,Medium Towns,South East,Non-coastal,Large non-coastal town,E30000266,Slough and Heathrow,Majority conurbation,Working,Lower deprivation towns,No university,High,276,67.4,65.9,89.1,58.0,39.9,14.5,8.3,42.8,22.1,4.0,*,21.3,44.4,32.5,3.7,1.0
E35000595,Walkden BUASD,21194,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000239,Manchester,Majority conurbation,Mixed,Mid deprivation towns,No university,Medium,211,82.4,64.9,83.9,53.1,35.5,23.7,16.6,49.8,22.3,7.6,*,23.9,45.1,30.5,3.6,2.0
E35000597,Darlaston BUASD,18803,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000288,Wolverhampton and Walsall,Majority conurbation,Mixed,Higher deprivation towns,No university,Low,251,66.9,44.6,68.5,30.7,29.9,21.5,10.8,31.1,10.8,19.1,5.1,35.6,35.6,23.7,3.2,-5.1
E35000601,Whitburn BUASD,5102,Small Towns,North East,Coastal,Smaller other coastal town,E30000275,Sunderland,Majority conurbation,Residential,Higher deprivation towns,No university,Medium,49,61.2,57.1,81.6,42.9,20.4,38.8,*,46.9,*,*,*,25.5,54.9,*,3.3,-3.1
E35000603,Burton Latimer BUASD,7449,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Mixed,Mid deprivation towns,No university,Low,107,62.4,55.1,78.5,46.7,28.0,18.7,15.0,61.7,33.6,*,*,27.8,41.7,27.8,3.4,-2.5
E35000605,Hucknall BUASD,32107,Medium Towns,East Midlands,Non-coastal,Large non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Higher deprivation towns,No university,Low,375,69.5,56.8,72.8,34.7,26.7,21.9,13.6,54.9,27.2,12.0,2.9,35.3,39.3,22.5,3.2,-3.2
E35000608,Oldbury (Sandwell) BUASD,23964,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000202,Dudley,Majority conurbation,Working,Higher deprivation towns,No university,Low,262,67.3,58.8,80.2,43.1,32.4,22.9,10.7,38.5,12.2,10.3,*,28.9,41.4,28.5,3.5,-1.6
E35000610,Dodworth BUASD,5900,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000004,Barnsley,Majority conurbation,Working,Higher deprivation towns,No university,Low,71,82.4,66.2,83.1,46.5,42.3,23.9,18.3,47.9,18.3,*,*,23.2,39.1,36.2,3.9,2.2
E35000618,Stalybridge BUASD,26482,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000239,Manchester,Majority conurbation,Residential,Higher deprivation towns,No university,Low,305,78.7,55.4,77.7,45.9,31.1,23.0,14.8,42.6,22.0,13.1,*,23.2,47.7,26.1,3.5,-0.5
E35000619,Stapleford BUASD,16190,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Mid deprivation towns,No university,Low,178,75.1,53.4,86.0,42.7,25.3,24.2,17.4,57.9,26.4,7.9,*,37.4,39.7,22.3,3.3,-2.0
E35000621,Moorends BUASD,5455,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000201,Doncaster,Majority conurbation,Residential,Higher deprivation towns,No university,Low,78,74.7,52.6,69.2,32.1,19.2,25.6,12.8,35.9,24.4,15.4,*,47.5,33.8,*,3.0,-3.8
E35000624,Bury St Edmunds BUASD,41113,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000184,Bury St Edmunds,Majority rural,Working,Lower deprivation towns,No university,Medium,443,72.6,57.3,84.4,51.7,36.1,19.0,9.5,53.7,29.1,5.6,*,24.9,43.0,30.5,3.6,-0.2
